Order_ID,Order_Date,Platform,Customer_ID,Product,Price,Quantity,Discount,Revenue,Country
916abd86,2024-05-16,Shopify,1eeefe,Headphones,264.78,3,0.16,667.25,Guinea
1e85b738,2024-04-10,Amazon,7a0154,Tablet,809.56,2,0.09,1473.4,Monaco
a5643451,2024-07-19,Shopify,3ef0de,Headphones,520.08,2,0.09,946.55,Dominica
27a8689c,2025-01-18,Shopify,d9e313,Smartwatch,80.61,4,0.12,283.75,Dominica
630b1112,2024-08-20,Amazon,8f32ea,Tablet,752.19,4,0.0,3008.76,Isle of Man
cd8841fd,2024-10-26,Amazon,562baf,Headphones,225.15,4,0.14,774.52,United Arab Emirates
5f6445e7,2024-04-28,Shopify,78a04d,Camera,550.82,3,0.15,1404.59,Palestinian Territory
ba234be3,2024-05-17,eBay,8dc431,Smartwatch,230.41,3,0.26,511.51,Timor-Leste
e01961f6,2024-06-03,Shopify,575ebc,Laptop,246.84,4,0.13,859.0,Papua New Guinea
6cafeae8,2024-11-04,Shopify,ce571f,Camera,438.07,2,0.11,779.76,French Southern Territories
89bfe2d9,2024-02-25,Shopify,32e077,Smartwatch,1999.71,2,0.3,2799.59,Jersey
60cae6ab,2025-01-24,Shopify,6d91a2,Monitor,54.26,2,0.17,90.07,Zimbabwe
b64d17d9,2024-02-19,Amazon,415a40,Tablet,1295.41,3,0.14,3342.16,United Kingdom
85d050a1,2024-08-27,Shopify,7fdad6,Smartphone,325.43,1,0.15,276.62,Singapore
3c487e88,2025-01-18,eBay,c4102d,Laptop,1845.22,2,0.24,2804.73,Falkland Islands (Malvinas)
9ff77f3a,2024-05-08,Amazon,2a06eb,Camera,232.58,2,0.1,418.64,Sri Lanka
09c36af2,2024-07-29,eBay,51ef62,Camera,1912.37,2,0.12,3365.77,Macao
b596cb3e,2024-08-07,eBay,fb0a13,Headphones,1241.31,4,0.23,3823.23,Uruguay
3e53e7e3,2024-02-18,eBay,527031,Tablet,52.47,3,0.02,154.26,Swaziland
83ea8458,2024-11-14,eBay,aab22e,Smartphone,1793.31,4,0.26,5308.2,Ethiopia
2c493cc2,2024-12-19,Amazon,4fd7bb,Smartwatch,1067.34,4,0.13,3714.34,Congo
c67e773b,2024-07-24,Amazon,71bf14,Smartphone,562.21,1,0.17,466.63,Croatia
bd247b61,2025-01-15,eBay,3e02e2,Tablet,1546.19,4,0.23,4762.27,Georgia
c395f39c,2024-02-23,eBay,c12165,Tablet,1857.0,1,0.08,1708.44,Togo
938f6212,2024-06-22,Amazon,4298c1,Monitor,993.2,4,0.27,2900.14,Bahamas
2c7603ce,2024-02-23,Amazon,ad4bd1,Monitor,665.33,2,0.29,944.77,Switzerland
8b4b2751,2024-10-29,Amazon,8ae839,Smartphone,1588.44,3,0.15,4050.52,China
7079308d,2024-02-09,Shopify,787f80,Smartwatch,1379.48,4,0.28,3972.9,Antigua and Barbuda
5c56467a,2024-06-28,Shopify,7359f3,Smartphone,1783.07,1,0.0,1783.07,Anguilla
3a05f39a,2024-10-04,Shopify,fc41ae,Tablet,1400.4,3,0.27,3066.88,Saint Kitts and Nevis
ec1eb385,2024-06-13,eBay,c02c1f,Tablet,524.88,1,0.09,477.64,Ecuador
27967613,2024-02-12,Shopify,2cdcff,Headphones,1866.74,2,0.09,3397.47,Montenegro
7e4b1e8b,2024-12-26,eBay,34c5fc,Monitor,254.43,4,0.07,946.48,Azerbaijan
d187edcd,2025-01-04,eBay,ea7eaa,Headphones,572.49,3,0.1,1545.72,Cocos (Keeling) Islands
4bb93a95,2024-04-21,Shopify,6cd272,Laptop,1064.38,2,0.06,2001.03,Zimbabwe
0fc2f4fc,2024-02-10,eBay,506bbe,Tablet,1153.2,4,0.27,3367.34,Martinique
36a3bc53,2024-11-28,Shopify,116dc8,Headphones,79.86,4,0.27,233.19,Slovenia
e9a30657,2024-08-24,Shopify,d50915,Smartphone,1572.12,1,0.03,1524.96,El Salvador
647817f3,2024-10-25,Amazon,5d8949,Monitor,755.13,1,0.04,724.92,Egypt
4032b4b4,2024-08-11,Shopify,ae9f3b,Monitor,842.52,2,0.26,1246.93,Greece
e662fbcb,2025-01-12,Amazon,d99cf3,Smartwatch,1628.27,1,0.12,1432.88,Pitcairn Islands
7b21033a,2024-05-26,Shopify,3d27a1,Smartphone,789.6,2,0.05,1500.24,Greece
976bbc81,2024-02-07,Shopify,2f7ff4,Smartwatch,142.09,2,0.15,241.55,Papua New Guinea
57cc70ae,2024-12-19,Amazon,ab0894,Headphones,394.06,2,0.13,685.66,Poland
7527e6d1,2024-10-01,Amazon,fd883c,Camera,1914.01,1,0.07,1780.03,Pitcairn Islands
8691af11,2024-12-05,Shopify,2dc7df,Laptop,187.29,3,0.22,438.26,Sweden
fb241b1e,2024-04-18,eBay,137ed3,Smartphone,742.12,2,0.19,1202.23,Afghanistan
1e2fe79a,2024-02-19,Amazon,ce5073,Smartphone,1031.2,3,0.03,3000.79,Swaziland
15ccac5c,2024-12-27,eBay,135544,Smartphone,1011.9,4,0.28,2914.27,Vietnam
ae278055,2024-04-18,eBay,01370c,Smartwatch,57.72,1,0.17,47.91,South Georgia and the South Sandwich Islands
7f505ae7,2024-08-08,eBay,8fbcab,Headphones,1027.27,1,0.08,945.09,Norway
52d1f332,2024-04-25,Amazon,7997c8,Smartphone,798.36,3,0.06,2251.38,Mexico
3280c39b,2024-08-07,eBay,58b1cb,Camera,1945.55,4,0.04,7470.91,Netherlands
7bcb9ef8,2024-07-01,Amazon,3770c5,Smartphone,360.36,4,0.13,1254.05,Mauritius
f28289b0,2024-12-08,eBay,d1d2bb,Monitor,740.6,2,0.04,1421.95,Samoa
d5c7ad5e,2024-03-24,Shopify,5bcd4d,Laptop,867.99,1,0.12,763.83,Sierra Leone
55c74976,2024-12-17,Shopify,76cdd9,Monitor,811.85,4,0.04,3117.5,Cyprus
